tic_id,status,best_period,depth,duration,snr,predicted_class,classification_probability,transit_prob,binary_prob,blend_prob,other_prob,confidence_level,blend_probability,error
TIC_150361911,success,1.247072419,0.089034325,2.4,506.5743419,Blend,0.57,0,0.4,0.57,0.03,LOW,0.4659866,
TIC_150361911,success,1.247072419,0.154268355,2.4,448.1814656,Blend,0.57,0,0.41,0.57,0.02,LOW,0.4659866,
TIC_100100827,success,0.941308842,0.007611893,2.4,604.1905316,Eclipsing Binary,0.74,0.05,0.74,0.12,0.09,MEDIUM,0.000544879,
TIC_100100827,success,0.941308842,0.007267381,2.4,593.8888902,Eclipsing Binary,0.69,0.07,0.69,0.16,0.08,LOW,0.000544879,
TIC_55525572,success,1.335513737,0.00017712,1.2,4.50694799,Other,0.92,0,0,0.08,0.92,HIGH,0.411615169,
TIC_55525572,success,3.964735948,0.000217064,1.2,3.013212209,Other,0.98,0,0,0.02,0.98,HIGH,0.411615169,
TIC_283722336,success,3.090379804,0.000129697,1.2,13.19002506,Blend,0.73,0,0.17,0.73,0.1,MEDIUM,0.601324087,
TIC_38699825,success,1.042320984,0.213042557,4.8,597.9572062,Eclipsing Binary,0.99,0,0.99,0,0.01,HIGH,0.150654406,
TIC_38699825,success,2.086375236,0.081701938,2.4,509.7226998,Eclipsing Binary,0.76,0.04,0.76,0.15,0.05,MEDIUM,0.150654406,
TIC_283722336,success,3.090379804,6.17E-05,1.2,6.261868023,Other,0.51,0,0.08,0.41,0.51,LOW,0.601324087,
