rank,period_days,bls_power,depth,duration,transit_time
1,3.092851487907915,4251.228958644487,0.00013910821991934677,1.2000000000000002,1765.9927348346569
2,157.38827595584158,3636.5864097042995,0.00022558085385410436,7.92,1765.9027348346567
3,122.12293930525664,3326.724526964138,0.0002128606534548992,7.92,1766.0327348346568
4,136.84033710733453,3322.3325827590315,0.0002817646235087889,7.92,1766.0327348346568
5,31.282345426793558,3172.3285483775485,0.00021828167075759215,7.92,1766.0327348346568
6,198.70094027452407,3167.8768345878657,0.00026632388341236535,7.92,1766.0327348346568
7,6.886669280789805,2951.308061172362,6.652572023293768e-05,7.92,1765.8977348346568
8,56.17159174996858,2908.1000941731163,0.0001703269344051653,7.92,1800.3577348346569
9,32.94640318288015,2800.9433238562774,0.0001703089116856956,7.92,1766.5627348346568
10,10.044261271959398,2748.264634526482,8.143219344164053e-05,7.92,1766.0927348346568
